word;word_group;matched_variation;context;year;file_path;original_token;target_position;context_length;signature;hash
inboorling;inboorling;inboorlingen;coili ni, mafleicn bicchi, die gunft bcweezen beeft 3 hebbende de groothertog van teskanen va met de kardinalen barberini, zandcdari, banchieii tn salviati, van zyne inboorlingen int sacto collegio. -amfteid.tni den 22 ostber. volgens de brieven van valencia van den 26 dei veileede maend , waren et geene koopvaerdeis meet gcpieft;1731;/data/groups/trifecta/jiaqiz/downloaded_zip_delpher/kranten_pd_17xx/kranten_pd_173x/1731/10/24/DDD_ddd_010726007_mpeg21/DDD_010726007_0006_articletext.xml;inboorlingen;25;51;coili mafleicn bicchi gunft bcweezen beeft groothertog teskanen kardinalen barberini zandcdari banchieii salviati inboorlingen sacto collegio amfteidtni ostber brieven valencia veileede maend geene koopvaerdeis meet gcpieft;68f3d3ad7fc92ae3e3be9b8c3af57189
inboorling;inboorling;inboorling;"vaderland te affineren; en ls jn, uitgevoerd had , vt-ierrt hy door de . stoel beloond, regecring van napels pretendeert, dat de aeits-biffchop vaat ncientoeen inboorling van het coninckrijck tr.oet zijn liad de collaterale ,racd aldaer de inkomflen van den doria in dat coninckrijck laten lequeftreren : macr ds pj 1";1731;/data/groups/trifecta/jiaqiz/downloaded_zip_delpher/kranten_pd_17xx/kranten_pd_173x/1731/08/16/DDD_ddd_011222871_mpeg21/DDD_011222871_0006_articletext.xml;inboorling;25;51;vaderland affineren uitgevoerd vtierrt stoel beloond regecring napels pretendeert aeitsbiffchop vaat ncientoeen inboorling coninckrijck troet liad collaterale racd inkomflen doria coninckrijck laten lequeftreren macr;37e37fe052ea0c4e9ccf5dccc51648cf
inboorling;inboorling;inboorling;co. ninckrijck foude kunnen bekomen , tracht de inlating van fijn familie onder de edelen alhier , uyt te werken, op dat defelve als een inboorling foudc geconfidereert werde . vin malta heeft men, dat de 4 malteefe oorlogfchepen fonder cenige prijs aldaer te ruggekomen waren. romen den 18 augufti. de;1731;/data/groups/trifecta/jiaqiz/downloaded_zip_delpher/kranten_pd_17xx/kranten_pd_173x/1731/09/08/DDD_ddd_011222885_mpeg21/DDD_011222885_0001_articletext.xml;inboorling;25;51;ninckrijck foude tracht inlating fijn familie edelen werken defelve inboorling foudc geconfidereert werde malta malteefe oorlogfchepen fonder cenige prijs ruggekomen romen augufti;816cdb9d6427e1f1aa763902c92495ec
inboorling;inboorling;inboorling;"dit dtprior der kerk va pugl. , aen deeze idevan fiore la, op den tviskaenfahea bodem, in proceflie .-ida, onverhoeds wis dood gedoken dooi eea inboorling, die an ac galey tt rug gekomen was, ca uie eenige laaderycn van eapiior wederom eyfehte; zynde de dader on vlagt, nadathy een aadex priefter";1732;/data/groups/trifecta/jiaqiz/downloaded_zip_delpher/kranten_pd_17xx/kranten_pd_173x/1732/08/01/DDD_ddd_010725585_mpeg21/DDD_010725585_0001_articletext.xml;inboorling,;25;51;dtprior pugl deeze idevan fiore tviskaenfahea bodem proceflie onverhoeds dood gedoken dooi inboorling galey gekomen laaderycn eapiior eyfehte dader vlagt nadathy aadex priefter;af1a3a8dcf2e2346ebc6c4f68994c178
inboorling;inboorling;inboorlingen;den 29 maert. eenige brieven verftkeren , dat louis giafferri genetacl der corlen een lcherpe ordonnantie had laten publiceren , waer by hy !le afwefende inboorlingen voor de maend mey te rng roept : hy had 4tooco scudi die hy getrocken had van de aen dc franfe verkogte oly , granen;1732;/data/groups/trifecta/jiaqiz/downloaded_zip_delpher/kranten_pd_17xx/kranten_pd_173x/1732/04/17/DDD_ddd_011223028_mpeg21/DDD_011223028_0006_articletext.xml;inboorlingen;25;51;maert brieven verftkeren louis giafferri genetacl corlen lcherpe ordonnantie laten publiceren afwefende inboorlingen maend roept 4tooco scudi getrocken franfe verkogte granen;4f6b80c8f45f9ee0fab4c2940b7cc7e7
inboorling;inboorling;inboorlingen;be,, quae. zyn, en dezelve verdienen. 4. dat hare aenzienlykffe tamilien mede aengenoraen zullen worden onderden adel van genua. . dat van vyf bilichoppe ,vier inboorlingen van corli,, ca zullen moeten 6. dat zy meerderjarige-en min :ei jat ge fideicommiffen zullen mogen maken, geen aen hen altyd verboden is ge weeft.;1732;/data/groups/trifecta/jiaqiz/downloaded_zip_delpher/kranten_pd_17xx/kranten_pd_173x/1732/05/30/DDD_ddd_010725559_mpeg21/DDD_010725559_0001_articletext.xml;inboorlingen;25;51;quae verdienen hare aenzienlykffe tamilien mede aengenoraen onderden adel genua bilichoppe inboorlingen corli meerderjarigeen fideicommiffen maken geen altyd verboden weeft;f347dc5ffa1f6a2ab0f825022c24f28c
inboorling;inboorling;inboorling;"vat met wyn en een to nbusk... -tin klooftei vanzvne .eerj alwicr hy gelogeerd is, gezonutr. om opentlyke vre ugde over de koiaft van een inboorling die tot 10 een waeidigheyd verheeven is, te bedryven ; zynde zy vader ohtfange van de eze ftad geweeft. de actie van de ooitciidifcht gompagnie";1732;/data/groups/trifecta/jiaqiz/downloaded_zip_delpher/kranten_pd_17xx/kranten_pd_173x/1732/03/10/DDD_ddd_010725524_mpeg21/DDD_010725524_0006_articletext.xml;inboorling;25;51;nbusk klooftei vanzvne eerj alwicr gelogeerd gezonutr opentlyke ugde koiaft inboorling waeidigheyd verheeven bedryven vader ohtfange ftad geweeft actie ooitciidifcht gompagnie;a33fc381358dba5d3cb3179780c4a71e
inboorling;inboorling;inboorlingen;hadden gedaan . dii nief tege nftaande heeft ripgtjhs ie uniforme - hot zoodanig bo veri alles uytge mu ht, wel de vte emden als inboorlingen hebben1 moeten ekcrineri dat zy zich no it zpudeh hebben tonnen een denkbeeld maaken , van die rge lyke pracht by inn den pekledßien yari;1739;/data/groups/trifecta/jiaqiz/downloaded_zip_delpher/kranten_pd_17xx/kranten_pd_173x/1739/01/16/DDD_ddd_010907458_mpeg21/DDD_010907458_0002_articletext.xml;inboorlingen;25;51;gedaan nief tege nftaande ripgtjhs uniforme zoodanig veri alles uytge emden inboorlingen hebben1 ekcrineri zich zpudeh tonnen denkbeeld maaken lyke pracht pekledßien yari;0ab7e1502b8f0e482c311e22544a764d
inboorling;inboorling;inboorlingen;het veiloopen der wateien een groote meenigtevsn viffen overal leggen gebleeven, door welker verrotting dc lv.gt zodanig geinfe eert was, dat veel 1000 van de inboorlingen dies landen , ah mede de tapiteynen, stuurlieden , super-cargo , en bynaalhet scheepvolk van 11 daat leggende engelfe, franle en portugeele schepen geftoiven waienj;1739;/data/groups/trifecta/jiaqiz/downloaded_zip_delpher/kranten_pd_17xx/kranten_pd_173x/1739/04/28/DDD_ddd_011229577_mpeg21/DDD_011229577_0002_articletext.xml;inboorlingen;25;51;veiloopen wateien groote meenigtevsn viffen overal leggen gebleeven welker verrotting lvgt zodanig geinfe eert 1000 inboorlingen dies landen mede tapiteynen stuurlieden supercargo bynaalhet scheepvolk daat leggende engelfe franle portugeele schepen geftoiven waienj;110ca9577cec6548a0504f2694d48b9f
inboorling;inboorling;inboorlingen;alo ope der, wateren een groote meenigte van viffe overal leggen gcbleevcn door welken veuotting de lugt zodanig geiofectesit was, dat veel iooo van de inboorlingen diei landen , alsmede deeapiteynen,stuurlieden , super-cargo , en byna al het scheepvolk van daar leggendeengclfe, ianle en poitugeeu.scliepengeu otvcn wareoj maar de eugelfefafto- ry;1739;/data/groups/trifecta/jiaqiz/downloaded_zip_delpher/kranten_pd_17xx/kranten_pd_173x/1739/04/28/DDD_ddd_011229576_mpeg21/DDD_011229576_0002_articletext.xml;inboorlingen;25;51;wateren groote meenigte viffe overal leggen gcbleevcn welken veuotting lugt zodanig geiofectesit iooo inboorlingen diei landen alsmede deeapiteynenstuurlieden supercargo byna scheepvolk leggendeengclfe ianle poitugeeuscliepengeu otvcn wareoj eugelfefafto;f846eeeec7bbc6ebea703e31446d2fc9
inboorling;inboorling;inboorlingen;"verhindering of belerzelmethaie effecten na de landen van haren koning verrrekken. 2. dat de onderdanen des konings van groot-briitannicn , ingeval van verfchil met de inboorlingen , nier gehouden zullen zyn , do_.wegen.- comp.irea ea voor den cady of den rechter van de plaets ; inacruat de gou.erneur van dezelucende eagelfe cenlul";1730;/data/groups/trifecta/jiaqiz/downloaded_zip_delpher/kranten_pd_17xx/kranten_pd_173x/1730/08/07/DDD_ddd_010725818_mpeg21/DDD_010725818_0003_articletext.xml;inboorlingen;25;51;verhindering belerzelmethaie effecten landen haren verrrekken onderdanen konings grootbriitannicn ingeval verfchil inboorlingen nier gehouden do_wegen compirea cady rechter plaets inacruat gouerneur dezelucende eagelfe cenlul;46d418e91ca54f06bbe8b1bee5de29d5
inboorling;inboorling;inboorlingen;"na de staaten van hun kcyli te begeeven : 2. dar dc onderdanen des konings van groot biii . ingevalie van veii chil met dc inboorlingen , niet verpiigt zullen yn , voor de regier vin de plaets te veilchynen ; maer dat alleenlyk dc gouverneur van de plaeis , en";1730;/data/groups/trifecta/jiaqiz/downloaded_zip_delpher/kranten_pd_17xx/kranten_pd_173x/1730/08/08/DDD_ddd_010709184_mpeg21/DDD_010709184_0005_articletext.xml;inboorlingen;25;51;staaten kcyli begeeven onderdanen konings biii ingevalie veii chil inboorlingen verpiigt regier plaets veilchynen alleenlyk gouverneur plaeis;4285fc1ede1918afa543f3b5dfe9d855
inboorling;inboorling;inboorling;", als aen ingeboore edelen van die provinrie, nu rs de jegenwoordige bezitters in hunne poftelli bly vende : dog de landboode dzialynski, een pmyliifch inboorling, kanten zig daer tegens aen ; willende de verhandeling van die zaek uytftellen tol dat de kamer by den senaet gekomen zoude zyn , nadien";1736;/data/groups/trifecta/jiaqiz/downloaded_zip_delpher/kranten_pd_17xx/kranten_pd_173x/1736/08/01/DDD_ddd_010724293_mpeg21/DDD_010724293_0003_articletext.xml;inboorling,;25;51;ingeboore edelen provinrie jegenwoordige bezitters poftelli vende landboode dzialynski pmyliifch inboorling kanten tegens willende verhandeling zaek uytftellen kamer senaet gekomen zoude nadien;1ba10e8195fd51783074a648fcd5a123
