word,context,year,file_path
moor,"cyge beweging acn den Gencrael Veldtnvgnieeiler Gracf van S:ckendo""f het Gouvernement van Phi- Jipsburggcconfsrecrr, en het Patent in de Hof-KrijgsraeJs-Cancclary late.i op mken , bet geOn rrcts ntec «ien laetlle Cenrier na Berlijn acn hem is tocgcfoilJen. Defer dagen zijn verfcheyde Couriers uyt Spa.ijc cn Engeland actigckornen , met de tyding darde Co.iing van Spanje de Af-te van Aceeflic tot het Weener- Trulietdtnó piffato getekent had: Als de Hertog van Lir:a fiilks aendcnKeyfer communiceerde, toonde fijn Keyferl. Majelt -vt iig da:r over Teer vergenoegt, en liet defc tyding acnllonts a.-n de aenwefende Minillers bel.end maken. De Comier d:c wegens den Moor van den Martpis P-jUavicini, na Conft.iniiiiopjfen gelbndcti is gewteil, is voor cenige dagen te rujgekomcn, met hst mtwoord van dc Porto , welcke lig verwondert , dat dc Co Hul dele fa eek die hem niet in fijn Inftru&ien was gegeven, ondernomen had j cn dat dc Keyfcr daar over foodanige voldoen: ïg konde nemen , als het hem behaegde. Grllere.i is wegens denie.udag van de Keyferinne Weduwe Amalia en van de ccur« voriKn van licyeren Galla gehouden. Co.ipcnhage den 14 July. Dc Coning fal fijn te rug reys over Coldi.ig nemen , aldaer i dagen blijven , den 14",1731,/data/groups/trifecta/jiaqiz/downloaded_zip_delpher/kranten_pd_17xx/kranten_pd_173x/1731/07/24/DDD_ddd_011222916_mpeg21/DDD_011222916_0004_articletext.xml
moor,"aen den Gencrael Veldtuygmceiter Gracf van S:ckendorf het Gouvernement van Philipsburg gcconferecrr, en h:t Patent in dl Hof-Krijgsraeüs-Canceliry laten op naken , het geen rrets met «ien laetfte Courier na Berlijn aen hem is toegefo;lden. Defer dagen zijn verfchtyde Coariefi uyt Spaujc cn Engeland aengekomen , met de tyaing datdcCo-iing van Spanje dc Afte vanAcceflio tot het Weener- Tr itlaer den 6 palïato getekent had:. Als de Hertog van Lirii iuUs aen Jen Keyfer Communiceerde, toonde fijn Keyferl. Majell'vt lig da:r over teer vergenoegt, en liet defe tyding aenllonts aen de aenwefende Minillürs beleend maken. De Comier die wegens den Moor van den Manpis P^llavicini, na vjonftjiitiuo. pjlen gefondeu is geivcert , is voor eenige dagen te rujgekomen, inet liet antwoord van de Porte , welcke lig verwondert, dat de Co 1 lui dele fa eek die hem fiiet in lijn Inftru&ien was gegeven, ondernomen had; en dat de Keyfer dasr over foodanige voldoening konde nemen , als het hem behacgde. Giftere.i is wegens de mciudag van de Kcyfcrinne Weduwe Amalia en van de Ceurvotftin van Bjycren Galla gehouden. Co.ipenhige den 14 July. De Coning fal fijn te rug reys over Coldi'ng nemen , aldaer 2 dagen blijven , den 24",1731,/data/groups/trifecta/jiaqiz/downloaded_zip_delpher/kranten_pd_17xx/kranten_pd_173x/1731/07/24/DDD_ddd_011222917_mpeg21/DDD_011222917_0006_articletext.xml
moor,"Porto. In de ftad Brjga heeft men ook een nieuwe Academie opgeregt. Lisbon den ia September. Men heeft tyding vnn Rio de Jana'wo , dat de vloot welke ketft van hier is vertrokken', daer zonder ongemak was gearriveert : Van St. Michkl word gefchreeven , dat den ij Augufty, daer omtrent waren verongelukt liet fchip N. S. de Solidade y Almas Capt. Manoel Ródrigucs Campo V3n Cacheu , nevens nog een Barkantyn fchip , zynde eenige peifoonen en goederen geborgen. Hier zyn gearriveerr de fehepen van Pieter Cornclifz. van Amfterdam , Daniel Ried van Rcrrerdam.George Ougrerlony van Venetien , Robbert Moor van Nnntes, Anrhonio da Colta Ribeiro van Stokholm, Leende.t Tromp van Hamburg, Jofepfi Gcfderidge van Petersburg , Jacob Walkt van St.Michkl, en jan Lambregt Stampen van Zierikzee.",1731,/data/groups/trifecta/jiaqiz/downloaded_zip_delpher/kranten_pd_17xx/kranten_pd_173x/1731/10/11/DDD_ddd_010709368_mpeg21/DDD_010709368_0001_articletext.xml
moor,"HUYZINGE, voorzien met een fraj-: Zael en veele royle Kamers en Vertrekken, 7.0 beneeden als boven , mitsgaders grote Z,l c ingen ; als ineue onder die Huyzinge van vooren tot achteren , zeei ruyme verwulfde Keldeis : Item daer achter een fchoonen en Ipantufraj Hot, bel-pil mei fiat- IvkePirteites, en rooits beplant met lage keuilyke Vingtbooinen ,en aen demuuren ten wedertrrien mei au.icrr i.n. Vruchten en Wyngieden ; als mede dier achter re» grote nieuw getimmerde Stallingc voot 9 Tietden , meteen ruytn Koetslmys na .-evenaar, nsei! der, anderen, en gelepaieeid door een bieedc'Cang tuflehen beyde , befloten meteen moor yzet Hek ; ftaende ac roorl'. Huyzinge binnen Utrecht aen de Niouwegragt ovei het St. Jans Keikhof, en met oen Hof, Srallingeen Koe thuis dan ac',ier , Ooftwaeids on ftrekkende ca tiytltomer.de tot in dr Keyzerftraet; met nog een aparr fpatieus Koetslmys aen de andere zyde van die lira er; alle nagelaten door de Heet Malthazar Ardineis. Te berragen tot Utracht by den Rentmeetter Hendrik van Hees; en tot Amflerdan, hy Evert Smith, op 't Roekin. de hand te Ko.>p , de zeer plaifinte en extra protitible Hofftede , geniemd ALSSEMGEETT, met zyn logeible Heeren Huyzinge, W er in %",1731,/data/groups/trifecta/jiaqiz/downloaded_zip_delpher/kranten_pd_17xx/kranten_pd_173x/1731/01/31/DDD_ddd_010725893_mpeg21/DDD_010725893_0010_articletext.xml
inboorling,"de PerfoSti d!e defclve heeft gcdacn; foö om hem niet te fs-,6ntf, aen 'i gevaer 't geen men tegen hem foude brouwen,als onj de*■? gunningen die alstoen geaccordecrt zijn , met Jc ondauo?"" vigeur ftaende te houden; wacr mede oock wijle Cleir.eiüXI de latck door fijn Voorzaten tegen de Monarchie van Sici!ic« b' ponh-'ii , lchccn te willen ftaende houden ; ten welken eyndc Cc~ ralermiiaen derwaerts was afgcfoudcn geworden-, ota de communicatie in fijn Vaderland te affineren; en *ls jn, uitgevoerd had , vt-ierrt hy door de H. Stoel beloond, Regecring van Napels pretendeert, dat de Aeits-Biffchop vaat""' ncientoeen Inboorling van het Coninckrijck tr.oet zijn' liad de Collaterale ,Racd aldaer de Inkomflen van den Doria in dat Coninckrijck laten lequeftreren : Macr ds pj„' 1""ilcl;5 verdiende, heeft aen den Aerts-Biflchop laten fê*»,.""' dat.hy fi.; over dicrgelijckc Voorvalien niet foude ontruk""' wijl de tijit""alles wel lal bjleggen. Vrydag gaf de Paus g-w! aen dui nieuwen Prir.s Ruspoli, die in een rouw Stgcr dcrw:er. gereden was, om't overlijden van den Prins fijn Vader bekend temaken : De Prins quant tonder hoed binnen } wacr ep fijn u defclva met eyge handen opfelrcde , en hein de Titel van Herto gaf , met",1731,/data/groups/trifecta/jiaqiz/downloaded_zip_delpher/kranten_pd_17xx/kranten_pd_173x/1731/08/16/DDD_ddd_011222871_mpeg21/DDD_011222871_0006_articletext.xml
moor,"mitsgadets Intereffen te pretenderen hebben tot den jate 1728 incluys , deze. ve ten vootlz Comptoire te laten ontfangen uytetlyk voot pnmo July aenftaende, of by faute van dien, dat dezelve dtter toe veizoek zullen moeten doen aen Haer Ed. Gr. Mog. „ecommitteerde Raden. Schout en Schepenen der Stad VIANEN , maken bekend, aen.ydet, die venncynd getechtigdte zyn rot de Nalatenfchap v»n__<_rwn\Piterfe (in zyn leven Meeftcr Weever, aldaer deu 14 January 17,1 ovcrlecdenj zien voor primo July ceillkomcKdc aen re gcevea, ■metbehoorlykc.ewvzen, ter Secretarye aldaer, alzo alsdan ten behoeve van de bekende Erfgenamen zal worden gedilponeerd. Alzo Jutïr. Hubberanet va» Moor ik., jonge aii'Bergen op den Zoom , zig ledeit vcifc.ieyde jaten heiwaerds uyt de vootn. Stad heeft gcretiiectd, zondet dat haer naefte V linden weeten waei dezelve haet is onthoudende,dafl ot dezelve levend of dood Is; en dat in cteii Boedel van haet Zuftcr __<,„_ vanMourik., op den 19 September 1730 binnen de voorfz Stad oveilceden, bctufteiidc zyn ecuige penningen van de Vadeilykelegitime portie van de vooifz Huyltrtines van Montie\_, als andeiiius, dewelke gedemanieeic moeten worden; zo werd hiet mede.ingevolge den Appointemente vaa dcEd.Agtb.Hee.en vaa de Magiftiae: dei vooifz Stad van dato den 17 0et0b.1730, de voorlz [uffr. Huybertina van",1731,/data/groups/trifecta/jiaqiz/downloaded_zip_delpher/kranten_pd_17xx/kranten_pd_173x/1731/04/13/DDD_ddd_010725924_mpeg21/DDD_010725924_0005_articletext.xml
moor,"een particulier gehoor by*-.'en Koning ; waer in hy aen zyn Majt. v*« het gefloote Tractie* Mt Wcenen,kennis gaf. Dien dag wierd é""< Abt Lar.ti 's Pauten extraard. Nuntius , van Patys afgekatlü > en ter oopenbaer igck-oor van den Koning geleyd'. Na dat hy de gewyde Luieren Vï-or den Dauphin g'epr-êicntecri had , gong zyii Maijt. , gevolgd Va» de Nuntius in zyn Cabinet, om dezelve te bèfcigtigeni deeze Luycren beftaen in 3 kierden ,ah z van SchailaU.cn , -en we.'rk.inten uiet goud cjeborduurt , en met Leliën , Kroonen 'tij l)olphynen bezacyd , en een van blaeuw zilver Moor met gortd geborduiirt , en met goud Laken gevoelt"" bezet met Paerlrn ; de -iitels v-in dezelve Stoffen , met goud geboiduurr, en met Paejien vetfierd; de hembden , ncüsdoeken , mutsjes, 'enz. . by halve douzyner.,alle met de fynfte Engelfe en'Braband'fc kanten : Viorts nog een gtoote Deeken van blaeuw zilver Aloor ,in goud geborduuit met fropheen , r.n Zinnebeelden van de kerk ; rn een Wieg-Deeken van 't zelve ftof, fo wel als z groote Hootdfeufteu's , waer van de Akers van geriokke goud zyn : de mand waer in het Linnen lag , was getiraekt als een",1731,/data/groups/trifecta/jiaqiz/downloaded_zip_delpher/kranten_pd_17xx/kranten_pd_173x/1731/04/19/DDD_ddd_010709293_mpeg21/DDD_010709293_0001_articletext.xml
moor,"de Abt Lanti Extraordinarii Kuncius van den Paus , ook Audiëntie by den Coning en de Coningin , zijnde door den /rins dc Guile cn den Heer Introdu&cur Hebert met de Koetfen van liaer Majefteyten nyt defc Stad afgcliaelr. Na dat hy de gewijde Luyeren voor den Dauphin , aen haer Majefteyten had geprclentecrt, ging de Coning , gevolgt van den Nuucius , in lijn Cabinet, om defelve te befien , beftaende in 5 Luyeren , als 2- van Scharlaken , aen weerzijden inet Goud geborduurd , en mee Leliën , Croonen en Dolphijncn bezaeyt, en een van blacuw Silver Moor , met Goud geborduurt en met Goud Laken gevoerd; en S wachtels van defelve Stofte, met Goud geborduurt en niet I'aerlen bezaeyt j voorts de Kembden en Ncusdoeiken , &c. , by halve Douzijnen , alle met de fijnfte Engelfe cn Brabandfc Kanten ; een groote Deke van blaeu Silver Moor in Goud geborduurd met Troplieen en Sinnebeelden van de Kerck , en een Kleed over di Wieg , van gelijckc Stoflfc en Borduurfel j als oock 2 groote Kuftens , \vaer van de daer aenhangende Akers van getrocke Goud waren : Het Mandje wacr in de Luyeren lagen ,",1731,/data/groups/trifecta/jiaqiz/downloaded_zip_delpher/kranten_pd_17xx/kranten_pd_173x/1731/04/19/DDD_ddd_011222821_mpeg21/DDD_011222821_0004_articletext.xml
moor,"Majefteyten had geprclentecrt, ging de Coning , gevolgt van den Nuucius , in lijn Cabinet, om defelve te befien , beftaende in 5 Luyeren , als 2- van Scharlaken , aen weerzijden inet Goud geborduurd , en mee Leliën , Croonen en Dolphijncn bezaeyt, en een van blacuw Silver Moor , met Goud geborduurt en met Goud Laken gevoerd; en S wachtels van defelve Stofte, met Goud geborduurt en niet I'aerlen bezaeyt j voorts de Kembden en Ncusdoeiken , &c. , by halve Douzijnen , alle met de fijnfte Engelfe cn Brabandfc Kanten ; een groote Deke van blaeu Silver Moor in Goud geborduurd met Troplieen en Sinnebeelden van de Kerck , en een Kleed over di Wieg , van gelijckc Stoflfc en Borduurfel j als oock 2 groote Kuftens , \vaer van de daer aenhangende Akers van getrocke Goud waren : Het Mandje wacr in de Luyeren lagen , was gemaeckt als een Kas waer in de Rcliquien bewaerd werden, gevoerd met blaeu Damaft geborduurd met Goud ; en alles was gefloten in 2, g:oote Koffers van Carmofijn Fluweel met Goud geborduurd • cn gcgallonnccrt, zijnde de voeten , de handvatfels , cn de floten van maflief Silver. Nadat haer",1731,/data/groups/trifecta/jiaqiz/downloaded_zip_delpher/kranten_pd_17xx/kranten_pd_173x/1731/04/19/DDD_ddd_011222821_mpeg21/DDD_011222821_0004_articletext.xml
moor,"inrrelt foude werden betaeld : Defc Banck is door de menigvuldige Bankroeten die'er zedert korten tijd zijn ontff.ien , in eenig discrediec geraeckt; en de particuliere Perlonen fehijnen fwatigltejrd tc maken , van haer Capitalen daer in te plaetfen , voor dat inca fier wat keer de faken fullen nemen. Men wil, dat wegens dc Lotery-faeck de genome Keyferl. Refolutie kort na Paeflchen lal gepubliceert werden ; en men verfekert dat de Geintr'èlfecrdc ' geen re.len meer tot klagte fullen hebben, a'.foo de daer toe vereylte Fonds reets uytgevonden is. Regensburg den 26 Maert. Den 19 arriveerde dc Spaenfc C.n-binet-Courier Moor uyt Spanje , en fette .de r;ys aenllon'ts m Weencn voort. Men heeft hier de firkere naricht bekom.-ii ; dat het Vergelijck taffen fijn Keyferl.'Majefteyt en Gróor-Brirtannien getroffen is, 't welck de Keyferl. I'ri'Kipael-Jommifljri» voorlede weeck door fijn Hof-Cavaliers aen eenige Gelanten heeft laten notificeren. Men twijfelt nier, of andere Mogend.' heden fullen in 't kott oock daer in treden. Schoon de Rijksl ried tot den 2 April gefloten is , en men ondertt'.ffen over de fack wegens het redres van de Misbruyken der Handwercks-Lieden noch meerder Inftructien hoopt te bekomen , foo zijn doch de Roomfc Gefaiuan voorlede week",1731,/data/groups/trifecta/jiaqiz/downloaded_zip_delpher/kranten_pd_17xx/kranten_pd_173x/1731/04/03/DDD_ddd_011222813_mpeg21/DDD_011222813_0004_articletext.xml
